[2018.05.23 16:28:31] 17937;33312;55812;
[2018.05.23 16:28:43] 17937;33187;55750;
[2018.05.23 16:30:03] 17875;55312;32375;
[2018.05.23 16:30:28] 17937;55125;32062;
[2018.05.23 16:30:53] 17937;55000;31875;
[2018.05.23 16:32:09] 17937;54625;31562;
[2018.05.23 16:32:22] 17937;54625;31687;
[2018.05.23 19:32:30] 19125;25750;29750;29562;
[2018.05.23 19:33:44] 19062;25750;29812;29500;
[2018.05.23 19:34:48] 19062;25750;29875;29500;
[2018.05.23 19:37:03] 19062;25812;29937;29250;
[2018.05.23 19:38:06] 19062;25812;30000;29187;
[2018.05.23 20:14:16] 19000;20687;21187;21250;
[2018.05.23 20:17:36] 19000;20687;21250;21437;
[2018.05.23 20:18:42] 19000;20687;21250;21500;
[2018.05.23 20:19:46] 19000;20750;21312;21562;
[2018.05.23 20:20:49] 19000;20750;21375;21562;
[2018.05.23 20:21:53] 19000;20750;21437;21625;
[2018.05.23 20:22:57] 19000;20750;21437;21625;
[2018.05.23 20:24:01] 19000;20750;21562;21750;
[2018.05.23 20:25:05] 19000;20750;21625;21750;
[2018.05.23 20:26:08] 19000;20750;21812;21812;
[2018.05.23 20:27:12] 19000;20687;21875;21812;
[2018.05.23 20:28:16] 19000;20687;22000;21812;
[2018.05.23 20:29:19] 19000;20687;22062;21875;
[2018.05.23 20:30:24] 19000;20687;22125;21875;
[2018.05.23 20:31:28] 18937;20687;22125;21875;
[2018.05.23 20:32:33] 19000;20687;22125;21875;
[2018.05.23 20:33:36] 18937;20625;22187;21875;
[2018.05.23 20:34:41] 18937;20625;22250;21875;
[2018.05.23 20:35:44] 18937;20625;22250;21937;
[2018.05.23 20:36:48] 19000;20562;22312;21875;
[2018.05.23 20:37:52] 18937;20562;22312;21937;
[2018.05.23 20:38:55] 18937;20562;22312;21875;
[2018.05.23 20:39:59] 18937;20562;22375;21937;
[2018.05.23 20:41:04] 18937;20500;22375;21937;
[2018.05.23 20:42:07] 18937;20500;22375;21875;
[2018.05.23 20:43:11] 18937;20500;22375;21937;
[2018.05.23 20:44:15] 18937;20500;22375;21875;
[2018.05.23 20:45:18] 18937;20500;22437;21875;
[2018.05.23 20:46:22] 18937;20437;22375;21875;
[2018.05.23 20:47:26] 18937;20437;22375;21875;
[2018.05.23 20:48:29] 18937;20437;22437;21875;
[2018.05.23 20:49:33] 18937;20437;22437;21812;
[2018.05.23 20:50:36] 18937;20437;22562;21875;
[2018.05.23 20:51:40] 18937;20437;22500;21875;
[2018.05.23 20:52:44] 19000;20437;22500;21812;
[2018.05.23 20:53:48] 19000;20375;22312;21812;
[2018.05.23 20:54:51] 19000;20375;22375;21812;
[2018.05.23 20:55:55] 19000;20375;22500;21812;
[2018.05.23 20:56:59] 19062;20375;22500;21812;
[2018.05.23 20:58:03] 19062;20375;22625;21750;
[2018.05.23 20:59:06] 19062;20437;22625;21750;
[2018.05.23 21:00:10] 19125;20437;22687;21750;
[2018.05.23 21:01:15] 19125;20437;22687;21750;
[2018.05.23 21:02:18] 19125;20437;22625;21750;
[2018.05.23 21:03:22] 19125;20437;22562;21687;
[2018.05.23 21:04:25] 19125;20437;22437;21625;
[2018.05.23 21:05:30] 19062;20437;22500;21500;
[2018.05.23 21:06:35] 19062;20500;22312;21500;
[2018.05.23 21:07:39] 19062;20562;22500;21500;
[2018.05.23 21:08:43] 19062;20687;22500;21437;
[2018.05.23 21:09:47] 19062;20750;22437;21500;
[2018.05.23 21:10:52] 19062;20812;22312;21437;
[2018.05.23 21:11:55] 19062;20875;22437;21375;
[2018.05.23 21:12:59] 19062;20937;22437;21437;
[2018.05.23 21:14:03] 19062;21000;22375;21437;
[2018.05.23 21:15:07] 19062;21062;22250;21375;
[2018.05.23 21:16:11] 19062;21125;22312;21375;
[2018.05.23 21:17:15] 19062;21125;22312;21312;
[2018.05.23 21:18:19] 19062;21187;22250;21312;
[2018.05.23 21:19:22] 19062;21187;22250;21312;
[2018.05.23 21:20:26] 19062;21250;22375;21250;
[2018.05.23 21:21:30] 19000;21250;22375;21312;
[2018.05.23 21:22:34] 19000;21312;22375;21250;
[2018.05.23 21:23:38] 19000;21312;22187;21250;
[2018.05.23 21:24:41] 19000;21375;22312;21250;
[2018.05.23 21:25:45] 19000;21375;22375;21187;
[2018.05.23 21:26:48] 19000;21375;22437;21187;
[2018.05.23 21:27:52] 19000;21437;22437;21125;
[2018.05.23 21:28:56] 19000;21437;22375;21125;
[2018.05.23 21:30:00] 19000;21437;22375;21125;
[2018.05.23 21:31:04] 19000;21437;22250;21062;
[2018.05.23 21:32:07] 19000;21437;22375;21062;
[2018.05.23 21:33:11] 19000;21437;22312;21000;
[2018.05.23 21:34:15] 19000;21500;22500;21000;
[2018.05.23 21:35:18] 19000;21500;22500;20875;
[2018.05.23 21:36:22] 19000;21500;22062;20875;
[2018.05.23 21:37:25] 18937;21437;22187;20750;
[2018.05.23 21:38:29] 19000;21500;22250;20750;
[2018.05.23 21:39:33] 19000;21500;22375;20750;
[2018.05.23 21:40:36] 19000;21500;22250;20687;
[2018.05.23 21:41:40] 19000;21500;22375;20687;
[2018.05.23 21:42:44] 19000;21500;22437;20625;
[2018.05.23 21:43:47] 19000;21500;22062;20562;
[2018.05.23 21:44:51] 19000;21500;22062;20500;
[2018.05.23 21:45:54] 18937;21437;22187;20562;
[2018.05.23 21:46:58] 18937;21500;22125;20500;
[2018.05.23 21:48:02] 18937;21437;22187;20437;
[2018.05.23 21:49:05] 18937;21437;22312;20437;
[2018.05.23 21:50:09] 18937;21437;22125;20375;
[2018.05.23 21:51:12] 18937;21437;22187;20375;
[2018.05.23 21:52:16] 18937;21437;22000;20375;
[2018.05.23 21:53:20] 18937;21437;21812;20312;
[2018.05.23 21:54:23] 18937;21437;21812;20250;
[2018.05.23 21:55:27] 18937;21437;22000;20187;
[2018.05.23 21:56:31] 18937;21375;21937;20187;
[2018.05.23 21:57:35] 18937;21375;22000;20187;
[2018.05.23 21:58:39] 18937;21375;21937;20125;
[2018.05.23 21:59:43] 18937;21375;21687;20062;
[2018.05.23 22:00:46] 18937;21375;21812;20125;
[2018.05.23 22:01:50] 18937;21375;21437;20062;
[2018.05.23 22:02:55] 18937;21375;21500;20000;
[2018.05.23 22:03:59] 18937;21312;21687;20000;
[2018.05.23 22:05:03] 18937;21312;21312;19937;
[2018.05.23 22:06:06] 18937;21312;99999;19937;
[2018.05.23 22:07:19] 18937;21312;21750;19875;
[2018.05.23 22:08:30] 18937;21312;21937;19875;
[2018.05.23 22:09:33] 18937;21312;22000;19812;
[2018.05.23 22:10:43] 18937;21312;22062;19750;
[2018.05.23 22:11:49] 18937;21312;22125;19687;
[2018.05.23 22:13:00] 18937;21250;22250;19750;
[2018.05.23 22:14:07] 18937;21250;21312;19812;
[2018.05.23 22:15:18] 99999;21250;21625;19750;
[2018.05.23 22:16:27] 18937;21250;21875;19812;
[2018.05.23 22:17:40] 18937;21250;22125;19812;
[2018.05.23 22:18:46] 18937;21250;22125;19812;
[2018.05.23 22:19:51] 18937;21187;22125;19750;
[2018.05.23 22:21:03] 99999;21187;22125;19750;
[2018.05.23 22:22:08] 18875;21187;22187;19750;
[2018.05.23 22:23:12] 18937;21187;22187;19750;
[2018.05.23 22:24:16] 18937;21187;21875;19750;
[2018.05.23 22:25:20] 18875;21125;21937;19687;
[2018.05.23 22:26:32] 99999;21125;22125;19687;
[2018.05.23 22:27:44] 18937;21125;99999;19687;
[2018.05.23 22:29:02] 18875;21125;22125;19625;
[2018.05.23 22:30:07] 18875;21062;21875;19562;
[2018.05.23 22:31:11] 18875;21062;22000;19562;
[2018.05.23 22:32:16] 18875;21062;22125;19562;
[2018.05.23 22:33:20] 18875;21062;22187;19562;
[2018.05.23 22:34:27] 18875;21062;22250;19562;
[2018.05.23 22:35:40] 18875;21000;22312;19500;
[2018.05.23 22:36:51] 99999;21000;99999;19562;
[2018.05.23 22:38:09] 18875;21000;21812;19500;
[2018.05.23 22:39:13] 18875;21000;21937;19437;
[2018.05.23 22:40:16] 18875;21000;22062;19437;
[2018.05.23 22:41:20] 18875;20937;22125;19437;
[2018.05.23 22:42:25] 18875;20937;22187;19437;
[2018.05.23 22:43:28] 18875;20937;22250;19375;
[2018.05.23 22:44:32] 18875;20937;22312;19312;
[2018.05.23 22:45:37] 18875;20875;22312;19312;
[2018.05.23 22:46:42] 18875;20875;22375;19250;
[2018.05.23 22:47:46] 18875;20875;22375;19375;
[2018.05.23 22:48:51] 18875;20875;22375;19250;
[2018.05.23 22:49:55] 18875;20875;22437;19187;
[2018.05.23 22:50:58] 18875;20812;22375;19125;
[2018.05.23 22:52:03] 18875;20812;22437;19062;
[2018.05.23 22:53:06] 18875;20812;22437;19000;
[2018.05.23 22:54:10] 18875;20750;22437;19125;
[2018.05.23 22:55:13] 18875;20750;22375;19062;
[2018.05.23 22:56:17] 18875;20750;22375;19062;
[2018.05.23 22:57:21] 18875;20750;22437;19062;
[2018.05.23 22:58:25] 18875;20750;22437;19062;
[2018.05.23 22:59:28] 18812;20750;22375;19000;
[2018.05.23 23:00:33] 18875;20687;22375;19125;
[2018.05.23 23:01:37] 18875;20687;22312;19062;
[2018.05.23 23:02:42] 18875;20687;22375;19062;
[2018.05.23 23:03:47] 18875;20625;22437;19000;
[2018.05.23 23:04:51] 18812;20625;22437;18875;
[2018.05.23 23:05:56] 18875;20625;22437;18875;
